"FITC-A","Texas Red-A"
125.46,437.88
26013.7,37891.4
239935,159359
1137.34,25937.4
92.66,280.44
68.88,232.88
1783.5,2449.34
134.48,256.66
13871.1,13089.7
41.82,66.42
72566.7,58216.7
141220,114406
113.98,144.32
6602.64,35912.7
262143,262143
56.58,418.2
323.08,11416.9
373.92,5191.42
373.92,772.44
88.56,124.64
405.08,568.26
87632.6,90216.4
167588,167484
96.76,193.52
530.54,22729.6
99.22,218.12
6048.32,5928.6
54556.2,48012.6
95.94,216.48
1517.82,1138.98
74.62,150.88
149.24,294.38
262143,262143
5258.66,3132.4
46.74,167.28
2298.46,1176.7
897.9,8450.1
68.06,182.04
1366.94,4957.72
40.18,122.18
60014.2,87673.6
387.86,5011.84
93250.4,89478.4
137.76,277.98
246,3467.78
548.58,19646.4
155.8,299.3
93.48,223.04
62081.4,66624.2
210.74,253.38
95269.2,95015
3348.88,13236.4
181.22,5568.62
150.06,406.72
131.2,324.72
90.2,250.92
67.24,95.12
54020.8,51908.5
83.64,300.94
113.98,205.82
971.7,17345.5
2696.16,3252.94
216.48,905.28
77.9,269.78
79.54,207.46
17403.7,34656.5
96660,104994
226935,227313
55.76,170.56
7468.56,9860.5
57.4,145.96
55.76,224.68
80.36,229.6
6596.9,25684
39793.8,25351.9
6718.26,29105.9
492.82,5306.22
112.34,154.98
502.66,16745.2
111.52,293.56
562.52,19266.7
29843.1,25709.5
68.88,214.84
116.44,269.78
382.12,453.46
95.12,277.98
210.74,1476.82
125471,120617
82.82,258.3
58999,51244.3
374.74,1209.5
78246,59303.2
84.46,164.82
142.68,396.06
109.06,195.16
970.88,13897.4
262143,262143
1416.96,2050
158.26,365.72
83.64,210.74
1820.4,5730.16
41,166.46
70.52,215.66
88.56,251.74
80.36,181.22
44618.7,41114.8
43422.3,31565.1
177.12,6558.36
46092.2,31179.7
123813,130729
159.08,364.9
72.16,141.04
37033.7,32189.9
2233.68,24199
10133.6,19565.2
697,20696.8
48.38,171.38
109.88,284.54
148.42,742.1
100.86,240.26
93876.1,71907.4
27561.8,25636.5
133.66,221.4
29.52,170.56
5332.46,19994.9
223.86,3985.2
314.88,8158.18
91.02,206.64
799.5,14210.6
26731.2,30273.6
95.12,374.74
132.02,356.7
1257.88,3915.5
186.14,401.8
1949.96,3780.2
3903.2,3723.62
131.2,232.06
155.8,194.34
