Comp-FITC-A,Comp-Texas Red-A,
1023,893,1.145576708
255,491,0.519348269
289,516,0.560077519
999,822,1.215328467
1023,914,1.119256018
461,367,1.25613079
405,548,0.739051095
270,258,1.046511628
246,239,1.029288703
281,258,1.089147287
932,828,1.125603865
902,639,1.411580595
255,249,1.024096386
530,402,1.31840796
250,240,1.041666667
258,248,1.040322581
263,243,1.082304527
272,249,1.092369478
364,317,1.148264984
978,820,1.192682927
258,409,0.630806846
778,633,1.22906793
461,451,1.022172949
970,700,1.385714286
266,280,0.95
304,260,1.169230769
246,238,1.033613445
315,281,1.120996441
871,780,1.116666667
247,240,1.029166667
1023,946,1.081395349
259,305,0.849180328
298,248,1.201612903
1022,971,1.052523172
913,831,1.098676294
327,567,0.576719577
245,235,1.042553191
245,235,1.042553191
931,709,1.313117066
283,256,1.10546875
256,252,1.015873016
256,253,1.011857708
250,259,0.965250965
270,255,1.058823529
245,242,1.012396694
255,247,1.032388664
974,633,1.538704581
566,420,1.347619048
427,646,0.660990712
718,650,1.104615385
1023,904,1.131637168
249,244,1.020491803
326,250,1.304
1009,767,1.315514993
850,654,1.29969419
300,266,1.127819549
261,248,1.052419355
275,356,0.77247191
289,262,1.103053435
293,280,1.046428571
278,508,0.547244094
305,403,0.756823821
257,414,0.620772947
246,238,1.033613445
1023,817,1.252141983
782,544,1.4375
899,665,1.351879699
867,659,1.315629742
246,244,1.008196721
738,678,1.088495575
247,242,1.020661157
1009,835,1.208383234
262,240,1.091666667
257,250,1.028
598,595,1.005042017
562,634,0.886435331
543,264,2.056818182
654,605,1.080991736
859,809,1.061804697
364,398,0.914572864
265,252,1.051587302
283,264,1.071969697
271,266,1.018796992
273,255,1.070588235
805,701,1.148359486
281,257,1.093385214
274,248,1.10483871
1023,899,1.137931034
942,732,1.286885246
243,236,1.029661017
757,573,1.321116928
762,293,2.600682594
251,242,1.037190083
255,242,1.053719008
271,247,1.097165992
252,241,1.045643154
271,251,1.079681275
750,459,1.633986928
244,240,1.016666667
507,368,1.377717391
654,476,1.37394958
671,819,0.819291819
563,500,1.126
280,249,1.124497992
260,248,1.048387097
250,240,1.041666667
296,263,1.125475285
270,412,0.655339806
259,244,1.06147541
256,243,1.053497942
260,247,1.052631579
254,240,1.058333333
256,347,0.737752161
266,271,0.981549815
919,741,1.240215924
664,664,1
282,262,1.076335878
790,771,1.02464332
894,736,1.214673913
483,449,1.075723831
257,354,0.725988701
273,257,1.062256809
273,258,1.058139535
248,239,1.037656904
573,561,1.021390374
340,272,1.25
958,686,1.396501458
287,304,0.944078947
246,238,1.033613445
540,718,0.752089136
279,274,1.018248175
269,249,1.080321285
269,243,1.106995885
276,252,1.095238095
262,239,1.09623431
332,636,0.522012579
691,767,0.900912647
291,455,0.63956044
508,592,0.858108108
292,262,1.114503817
994,846,1.174940898
258,242,1.066115702
285,272,1.047794118
254,249,1.020080321
257,246,1.044715447
395,569,0.694200351
651,689,0.944847605
276,253,1.090909091
980,824,1.189320388
861,683,1.260614934
1006,813,1.237392374
301,271,1.110701107
244,243,1.004115226
245,242,1.012396694
270,245,1.102040816
363,627,0.578947368
270,259,1.042471042
255,469,0.543710021
278,250,1.112
318,617,0.515397083
294,513,0.573099415
546,518,1.054054054
270,261,1.034482759
620,548,1.131386861
579,456,1.269736842
285,261,1.091954023
388,395,0.982278481
257,248,1.036290323
260,247,1.052631579
250,240,1.041666667
264,249,1.060240964
371,291,1.274914089
245,239,1.025104603
1016,870,1.167816092
244,279,0.874551971
477,253,1.885375494
260,241,1.078838174
623,620,1.00483871
361,292,1.23630137
250,239,1.046025105
283,247,1.145748988
279,351,0.794871795
843,701,1.20256776
244,236,1.033898305
280,256,1.09375
288,263,1.095057034
249,254,0.980314961
377,619,0.60904685
335,459,0.729847495
545,338,1.612426036
289,507,0.570019724
561,695,0.807194245
273,255,1.070588235
275,533,0.515947467
244,238,1.025210084
360,299,1.204013378
487,296,1.64527027
815,792,1.029040404
947,784,1.207908163
721,439,1.642369021
277,429,0.645687646
313,428,0.731308411
878,710,1.236619718
258,249,1.036144578
266,251,1.059760956
872,741,1.176788124
1021,815,1.252760736
260,246,1.056910569
343,559,0.613595707
510,684,0.745614035
244,247,0.987854251
247,246,1.004065041
248,234,1.05982906
388,341,1.137829912
296,494,0.599190283
311,526,0.591254753
285,253,1.126482213
892,610,1.462295082
246,243,1.012345679
273,261,1.045977011
297,277,1.072202166
728,574,1.268292683
283,256,1.10546875
267,251,1.06374502
778,725,1.073103448
261,254,1.027559055
518,718,0.721448468
997,848,1.175707547
1017,846,1.20212766
249,250,0.996
1022,970,1.053608247
305,395,0.772151899
590,530,1.113207547
476,419,1.136038186
279,259,1.077220077
562,303,1.854785479
248,244,1.016393443
264,250,1.056
