"Comp-FL03-A :: FITC-A","Comp-FL15-A :: mCherry-A"
162421,150657
28499.6,36825.9
104574,81051.6
53818.5,76870.4
39570.1,76899.5
50244.5,60199.9
15761.5,102261
158386,89138.8
34812.7,61412.7
26496.2,53050.9
62473.3,76432.1
17749.5,32719.9
88483.4,87893.7
80940.8,123695
41065.2,79614.5
64741.2,41306.9
104384,140588
49473.9,66034.7
21653.3,31045.9
18352.9,35625.6
48845,90138
44234.9,28203.6
33267.3,45665.3
20653.4,40452.1
55049.7,73913.9
82844.2,112580
15651.9,93277.4
32932.8,34696.4
22532.8,39969.1
47394,33764.4
14960.2,53076.6
20228.9,24306.9
81600.3,105102
36602.1,35358.3
39901.5,63668.4
76621.4,57454.4
18092.3,37737.8
42902.9,108814
114665,65128.6
28766.3,83919.6
30860.9,53219.9
19445.8,47869.2
47766.5,68907.5
22512.2,81251.1
99917.2,65598.8
13963.9,34806.1
62358,84795.3
158038,123559
80569.6,124558
22953.5,45192.1
20103.3,65325.9
35213.1,16944.3
36971.7,25332.7
110067,99462.3
95115.8,75295.3
138814,119883
34988.6,45685.9
48004.4,54000
62262.4,173500
22113.8,35658.9
110797,99654.9
15427.2,70815.9
36833.8,131865
24000,82047.9
144544,149915
19356.2,66700.5
184176,170725
39674.5,20769.3
81224,126421
105000,77332.1
22004.2,48486.6
66272.4,109499
18294.2,41836.6
148388,167635
25924.3,69125.6
32345.3,23639.2
104109,160775
64620.6,33739.6
33190.9,115167
63671.3,38553.1
45173.8,30262.7
34700.1,38159.8
61711.4,32889.4
108996,144984
47052.1,25295.4
133428,136349
13027.2,55804.7
47653.3,89287.8
172526,194311
11564.8,88964.6
43742.1,102802
13155.5,28894.1
26173.6,136749
12102.5,32249.1
12516,19098.9
48367.8,74804.7
29008.5,31043.5
49508.4,117510
23097,48941.1
24227.8,65602.8
31798.1,66478
34287.5,51997.6
131883,120484
65564.9,95384.1
14382.2,70692.7
27000.8,93596.9
35506.2,118430
20930.9,38748.2
99913,56918.4
22744.9,71041.2
74243.8,116711
14841.3,93911.8
171061,147703
39086.8,85876.1
28019.6,52776.6
170687,198488
54867.9,90309.9
23632.1,67743
39673.5,49122.9
14347.4,17746.3
40481.4,67299.6
27053.5,79934.1
75588.9,67666.9
36639.6,97640.7
142249,162195
47380.2,23481.8
170844,138624
74263.4,67601.5
19418.7,20077.2
24919.1,43305.5
134842,95837.4
16826,77620.8
84444.9,110442
57873.1,36598.8
14944.5,46558.5
17959.2,55006.3
82006.5,150284
52241.8,91640.9
156208,157562
13199.5,35153.4
47151.3,81266.9
36206.7,20114.8
72244.3,98520.7
23792.8,78572
47809.7,38443.1
42450.7,22790
169641,152161
64308.2,59364.3
15197.1,36853.1
40937.6,22825.1
96312.6,87143.5
95234.4,145861
62096.6,109760
65929.8,53576.3
60455.2,66138.6
13311.7,24595.9
26400.4,44002.3
48621.1,62014.3
131058,186861
12497.4,68553.2
18685.9,63046.4
15312.2,57004.7
95881.1,158482
65734.9,55765.6
44858.3,59394.4
75224.4,75604
20387.7,40266.5
26163.5,63350.7
